new,,,,
RT @jamesmenendez: LISTEN (with audio link!): World Vision's @mdarvas in Pokhara #Nepal on situation there @bbcnewshour  https://t.co/zOLm0…,1,,,
Dramatic #photo from #Nepal after the earthquake. http://t.co/EYLnjZe95n,1,,,
"RT @ndtv: 13 military aircrafts expected to reach Kathmandu today, says Foreign Secretary S Jaishankar #NepalEarthquake http://t.co/dSIWDw6…",1,,,
"RT @nytimes: Updated totals from Nepal: 1,900 killed and more than 4,700 injured. http://t.co/wS6u2MQpoh",1,,,
RT @KNGMusic_KNG: Just now learning what happened in Nepal. May God be with them as they mourn the lost and try to figure out how to move o…,1,,,
"Pope at Regina Coeli prays for Nepal earthquake victims: (Vatican Radio) On Sunday, Pope Francis remembered th... http://t.co/FUdAp5xKat",1,,,
RT @timesofindia: Sikh bodies to send 'langar' for #NepalEarthquake victims http://t.co/196WTbOwjz http://t.co/GWrfoBRPhI,1,,,
RT @hsalve: First Yemen then Nepal. Proud of my government which is there for Indians and other humans in distress. We always lamented that…,1,,,
"RT @kashishds: Reinforcements like these common in old Kathmandu, thought unsafe. Day after quake, this one in Ason still standing http://t…",1,,,
"RT @GiftoftheGivers: Given the logistical difficulties in getting to Nepal, @GiftoftheGivers in all likelihood wil b chartering its own fli…",1,,,
"RT @ibnlive: Religious bodies of Sikh community to send 25,000 food packets every day to Kathmandu http://t.co/XSas6UgZHc",1,,,
RT @onedirection: To help those affected by the devastating earthquake in Nepal text: DONATE5 to 70008 and give £5. Thank you #NepalEarthqu…,1,,,
RT @loaideeb: It is with great regret that I extend my condolences to the Government and people of #Nepal to the victims who... http://t.co…,1,,,
RT @kathmandupost: CORRECTED: Ncell has also announced free talktime of Rs 20 and 50 text messages. #NepalEarthquake #Nepal,1,,,
RT @WFP_Europe: #NepalEarthquake: @WFP on the ground and ready to assist people affected. You can help here: http://t.co/KyDoL02gFS #Nepal,1,,,
RT @CARE: Support CARE's #earthquake relief teams on the ground now in #Nepal. DONATE NOW: http://t.co/l8crY0W2Qt http://t.co/Lz3eKrmBre,1,,,
RT @PIB_India: The presser on #NepalQuakeRelief begins at  PIB  #NepalEarthquake,1,,,
Nepal Earthquake Strikes One of Earth's Most Quake-Prone Areas http://t.co/0t1QXjCh1r via @NatGeo,1,,,
